CODE_CONTRAT,DATE_RECHARGE,TYPE_REFILL,NBR_RECHARGE,MONTANT_RECHARGE,MONTANT_BONUS_RECHARGE
BS_36433778,01/01/2017,0,1,1,10
BS_29100393,01/01/2017,0,2,6,54
BS_20991697,01/01/2017,0,1,5,50
BS_23307298,01/01/2017,0,1,5,75
BS_36715995,01/01/2017,0,1,1,10
BS_17990293,01/01/2017,0,1,1,7
BS_22780419,01/01/2017,0,1,1,7
BS_3986134,01/01/2017,1,2,6,0
BS_23294185,01/01/2017,0,1,1,7
BS_3601998,01/01/2017,0,1,1,0
BS_26274774,01/01/2017,0,1,1,7
BS_26027912,01/01/2017,0,1,1,7
BS_7948318,01/01/2017,0,1,1,4
BS_25585640,01/01/2017,0,1,1,7
BS_27956344,01/01/2017,0,1,1,4
BS_9264842,01/01/2017,0,1,1,7
BS_36233572,01/01/2017,0,1,1,10
BS_20349954,01/01/2017,0,2,2,8
BS_3949179,01/01/2017,0,1,1,7
BS_26265980,01/01/2017,0,1,1,7
BS_3545109,01/01/2017,0,1,1,7
BS_30829703,01/01/2017,1,1,2,7.016
BS_26288733,01/01/2017,0,1,1,4
BS_20988138,01/01/2017,0,1,1,4
BS_3755353,01/01/2017,0,1,1,0
BS_27187659,01/01/2017,0,1,1,4
BS_23257759,01/01/2017,0,1,5,75
BS_42066764,01/01/2017,0,1,1,10
BS_30820263,01/01/2017,0,1,1,4
BS_39203647,01/01/2017,0,1,1,10
BS_3927066,01/01/2017,0,1,1,4
BS_31518151,01/01/2017,0,1,1,10
BS_20352351,01/01/2017,0,1,1,4
BS_35483333,01/01/2017,0,1,1,10
BS_4208189,01/01/2017,0,1,1,7
BS_13754716,01/01/2017,0,1,1,7
BS_3465732,01/01/2017,0,1,1,4
BS_3682555,01/01/2017,0,1,1,0
BS_27188483,01/01/2017,0,1,5,50
BS_23130824,01/01/2017,0,1,1,7
BS_3795548,01/01/2017,0,1,5,75
BS_40136256,01/01/2017,1,1,1,8.77
BS_3784120,01/01/2017,0,1,1,7
BS_42090986,01/01/2017,0,1,1,4
BS_34653332,01/01/2017,0,1,1,0
BS_20347931,01/01/2017,0,1,1,7
BS_32501649,01/01/2017,0,1,5,50
BS_42135028,01/01/2017,0,1,1,10
BS_42162046,01/01/2017,0,1,1,10
BS_3793834,01/01/2017,0,1,1,0
BS_36720462,01/01/2017,1,1,5,43.85
BS_41763551,01/01/2017,1,1,1,8.77
BS_30690152,01/01/2017,1,1,1,0
BS_39808882,01/01/2017,0,1,1,10
BS_20350679,01/01/2017,0,1,1,7
BS_36739760,01/01/2017,0,1,1,10
BS_35900660,01/01/2017,0,1,1,10
BS_34364464,01/01/2017,0,1,1,0
BS_31020020,01/01/2017,0,1,1,4
BS_42044980,01/01/2017,0,1,5,0
BS_7925158,01/01/2017,0,1,1,7
BS_40158945,01/01/2017,0,1,1,0
BS_23269492,01/01/2017,0,1,5,50
BS_23187291,01/01/2017,0,1,1,7
BS_20989394,01/01/2017,0,2,2,8
BS_36741692,01/01/2017,0,1,1,10
BS_34496256,01/01/2017,0,2,2,20
BS_9279293,01/01/2017,0,1,1,7
BS_3789130,01/01/2017,0,1,1,4
BS_26656529,01/01/2017,0,2,2,20
BS_4137048,01/01/2017,0,1,1,4
BS_21005330,01/01/2017,0,1,5,50
BS_34184180,01/01/2017,0,1,1,0
BS_39280284,01/01/2017,0,1,1,10
BS_39866546,01/01/2017,0,1,1,10
BS_23291215,01/01/2017,0,1,1,4
BS_41746054,01/01/2017,0,1,1,10
BS_16931950,01/01/2017,0,1,1,7
BS_19507411,01/01/2017,0,1,5,0
BS_23259623,01/01/2017,0,1,5,75
BS_36727258,01/01/2017,0,1,1,10
BS_14532181,01/01/2017,1,1,2,12.278
BS_3725056,01/01/2017,1,1,1,3.508
BS_26272981,01/01/2017,0,1,1,4
BS_3644439,01/01/2017,0,1,1,7
BS_27205994,01/01/2017,0,1,1,4
BS_27209326,01/01/2017,0,1,5,50
BS_28006568,01/01/2017,0,1,1,4
BS_33014764,01/01/2017,0,1,1,10
BS_23211579,01/01/2017,0,1,1,7
BS_42058217,01/01/2017,0,1,1,10
BS_22018437,01/01/2017,0,1,5,50
BS_35524762,01/01/2017,0,1,5,50
BS_4083689,01/01/2017,0,1,1,0
BS_3782225,01/01/2017,1,1,2,17.54
BS_3450890,01/01/2017,1,1,1,0
BS_23291723,01/01/2017,0,1,1,7
BS_27958491,01/01/2017,0,1,5,50
BS_34017720,01/01/2017,0,1,5,50
BS_39242723,01/01/2017,0,2,2,20
BS_39876960,01/01/2017,0,3,3,30
BS_41737118,01/01/2017,0,1,1,10
BS_14684278,01/01/2017,0,1,1,0
BS_23252584,01/01/2017,0,1,1,7
BS_23218126,01/01/2017,0,1,1,4
BS_42124235,01/01/2017,1,1,5,43.85
BS_23197316,01/01/2017,1,1,1,3.508
BS_3752289,01/01/2017,0,1,1,4
BS_35348030,01/01/2017,0,1,5,0
BS_18041499,01/01/2017,0,1,1,0
BS_41763119,01/01/2017,0,1,1,10
BS_42138217,01/01/2017,0,1,1,10
BS_14543500,01/01/2017,1,1,5,256
BS_41825921,01/01/2017,1,1,1,8.77
BS_25557336,01/01/2017,0,1,1,10
BS_39207438,01/01/2017,0,1,1,10
BS_3841457,01/01/2017,0,1,1,4
BS_36720675,01/01/2017,0,1,1,10
BS_42061772,01/01/2017,0,1,1,10
BS_28961741,01/01/2017,0,1,1,10
BS_20996289,01/01/2017,0,1,1,14
BS_31070127,01/01/2017,0,1,1,10
BS_7772671,01/01/2017,0,1,1,0
BS_3819306,01/01/2017,0,1,1,7
BS_4058827,01/01/2017,0,1,1,7
BS_3561266,01/01/2017,0,1,1,4
BS_29712169,01/01/2017,0,1,1,10
BS_25080953,01/01/2017,0,1,5,50
BS_9230786,01/01/2017,0,1,5,66.2
BS_17978739,01/01/2017,0,1,1,7
BS_41768279,01/01/2017,0,1,1,4
BS_40730909,01/01/2017,0,1,1,10
BS_31319744,01/01/2017,0,1,1,10
BS_27551866,01/01/2017,0,1,5,50
BS_39818764,01/01/2017,0,1,1,10
BS_18034917,01/01/2017,0,3,7,58
BS_14536446,01/01/2017,0,1,1,7
BS_41748958,01/01/2017,0,1,1,10
BS_3921428,01/01/2017,0,1,1,7
BS_25703234,01/01/2017,0,1,1,4
BS_2531666,01/01/2017,0,1,1,4
BS_42094562,01/01/2017,0,1,1,10
BS_25561323,01/01/2017,0,1,5,75
BS_3827087,01/01/2017,0,1,1,4
BS_8359259,01/01/2017,0,1,5,75
BS_41686301,01/01/2017,0,1,1,10
BS_30807400,01/01/2017,0,1,1,4
BS_42137260,01/01/2017,0,1,1,10
BS_26430381,01/01/2017,0,1,1,7
BS_20361266,01/01/2017,0,1,5,75
BS_34549938,01/01/2017,0,1,1,10
BS_3408842,01/01/2017,0,1,5,0
BS_23292804,01/01/2017,0,1,1,7
BS_16736943,01/01/2017,0,2,2,8
BS_23205551,01/01/2017,0,1,1,4
BS_30146695,01/01/2017,0,1,1,10
BS_17242787,01/01/2017,0,1,1,4
BS_3423783,01/01/2017,0,2,2,0
BS_7794393,01/01/2017,0,1,5,66.2
BS_39239873,01/01/2017,0,1,1,10
BS_3785240,01/01/2017,0,2,2,0
BS_20991711,01/01/2017,0,2,2,8
BS_3670127,01/01/2017,0,1,5,207.995
BS_20358751,01/01/2017,0,1,5,66.2
BS_27208479,01/01/2017,0,1,1,4
BS_25082646,01/01/2017,0,1,1,10
BS_20990897,01/01/2017,0,1,5,150
BS_8359258,01/01/2017,0,1,5,45
BS_12411092,01/01/2017,0,1,1,7
BS_36215050,01/01/2017,0,1,5,0
BS_22020002,01/01/2017,0,1,1,4
BS_22782051,01/01/2017,0,1,5,50
BS_19769418,01/01/2017,0,1,5,45
BS_15708826,01/01/2017,0,1,5,50
BS_23307573,01/01/2017,0,1,5,75
BS_26012148,01/01/2017,0,1,1,10
BS_35450854,01/01/2017,0,1,1,10
BS_25593592,01/01/2017,0,2,2,8
BS_3656689,01/01/2017,0,1,1,4
BS_3632155,01/01/2017,0,1,5,45
BS_3785907,01/01/2017,0,1,1,7
BS_16930003,01/01/2017,0,1,5,66.2
BS_19509045,01/01/2017,0,1,1,3
BS_33567740,01/01/2017,0,1,1,10
BS_4014069,01/01/2017,1,1,5,64.97
BS_22764299,01/01/2017,0,1,1,7
BS_41046575,01/01/2017,0,1,1,10
BS_23294245,01/01/2017,0,1,1,7
BS_42063975,01/01/2017,0,1,1,10
BS_42085752,01/01/2017,0,1,5,50
BS_39175019,01/01/2017,0,1,1,10
BS_19529894,01/01/2017,0,1,1,3
BS_23294104,01/01/2017,0,1,1,7
